population1,age1,2050,,population2,age2,2045£¬¦Ã=0.43,,population3,age3,2040£¬¦Ã=0.43,,population4,age4,2030£¬¦Ã=0.43,population5,age5,2035£¬¦Ã=0.43
1.221053577,,,,1.317860972,,,,1.557921436,,,,1.14001998,,,1.688213116,,
1.202577886,,,,1.363854165,,,,1.586247883,,,,0.997617299,,,1.641115711,,
1.202299388,,,,1.409195946,,,,1.611037026,,,,0.90525709,,,1.551835197,,
1.218214681,,,,1.448148193,,,,1.629604746,,,,0.87827895,,,1.413852292,,
1.247532863,,,,1.481283271,,,,1.634589639,,,,0.900817751,,,1.247785645,,
1.285207472,,,,1.509117009,,,,1.616465722,,,,0.947981229,,,1.079510514,,
1.32650441,,,,1.532301429,,,,1.565207583,,,,0.994555364,,,0.934398879,,
1.366074284,,,,1.550904487,,,,1.471456163,,,,1.014377057,,,0.837483196,,
1.401242169,,,,1.565336705,,,,1.331861257,,,,0.990022081,,,0.806916266,,
1.429181888,,,,1.564872138,,,,1.16330748,,,,0.925793846,,,0.823711574,,
1.4494931,,,,1.53910246,,,,0.990308694,,,,0.833771117,,,0.862464895,,
1.465454307,,,,1.480668835,,,,0.840419597,,,,0.731648055,,,0.900987934,,
1.475260868,,,,1.378372967,,,,0.736359919,,,,0.629489777,,,0.911660079,,
1.479268113,,,,1.228845113,,,,0.695951454,,,,0.539293725,,,0.877316351,,
1.46830404,,,,1.050509994,,,,0.702112872,,,,0.460387445,,,0.803769755,,
1.431243308,,,,0.86713261,,,,0.729225051,,,,0.389284626,,,0.702251854,,
1.357091675,,,,0.702621417,,,,0.751996505,,,,0.321436927,,,0.586679158,,
1.23965931,,,,0.584678648,,,,0.748324821,,,,0.259688619,,,0.471994543,,
1.069680763,,,,0.525209406,,,,0.695530507,,,,0.198364503,,,0.364188318,,
0.875991185,,,,0.51746715,,,,0.609554571,,,,0.143352629,,,0.272823537,,
0.673419682,,,,0.526786768,,,,0.492283869,,,,0.085713288,,,0.185327978,,
0.495813829,,,,0.537715077,,,,0.367100718,,,,0.032486861,,,0.106934122,,
0.362095563,,,,0.519274032,,,,0.239773178,,,,0.022224273,,,0.031523913,,
0.285133448,,,,0.449674887,,,,0.116950142,,,,0.080993265,,,0.045710896,,
